Time	Flux	Well	Substrate-Temperature	Substrate-OP	Ni-Temperature	Ni-OP	CuBase-Temperature	CuBase-OP	CuTip-Temperature	CuTip-OP	Mn-Temperature	Mn-OP	Sb-Temperature	Sb-OP
20201202133757	0	0	250.4	4.9	600.0	11.0	1000.0	20.1	1180.0	39.4	823.0	68.8	424.6	33.8
20201202133800	0	0	250.4	4.6	600.0	11.0	999.9	20.3	1179.0	40.2	823.0	68.9	424.6	34.3
20201202133805	0	0	250.3	4.8	600.0	10.9	999.9	20.0	1179.1	40.4	823.0	68.9	424.6	34.2
20201202133808	0	0	250.2	4.8	600.0	11.0	999.8	20.1	1179.0	40.8	822.9	68.9	424.6	34.5
20201202133812	0	0	250.2	4.3	600.0	11.0	999.9	20.2	1179.1	40.9	822.9	69.1	424.6	34.7
20201202133815	0	0	250.2	5.0	600.0	11.0	999.9	20.1	1179.2	41.1	822.9	69.1	424.6	34.4
20201202133818	0	0	250.2	4.7	600.0	11.0	999.8	20.3	1179.4	41.2	822.9	69.1	424.6	34.8
20201202133823	0	0	250.1	4.8	600.0	11.0	999.9	20.1	1179.4	41.2	822.9	69.1	424.6	34.7
20201202133826	0	0	250.1	4.8	600.0	11.0	1000.0	20.4	1179.6	41.3	822.9	69.1	424.6	34.7
20201202133829	0	0	250.1	4.3	600.0	10.9	999.8	20.3	1179.6	41.4	822.9	69.2	424.6	34.8
20201202133833	0	0	250.0	5.2	600.0	11.0	999.8	20.6	1179.7	41.4	822.9	69.2	424.6	35.0
20201202133836	0	0	250.1	4.6	600.0	11.0	999.8	20.6	1179.8	41.5	822.9	69.2	424.6	35.0
20201202133841	0	0	250.0	4.8	600.0	11.0	999.8	20.5	1179.8	41.5	822.9	69.2	424.6	34.6
20201202133844	0	0	250.0	5.1	600.0	11.0	999.8	20.5	1179.9	41.5	822.9	69.2	424.6	34.5
20201202133847	0	0	250.1	4.2	600.0	11.0	999.9	20.6	1179.9	41.5	822.9	69.3	424.6	34.9
20201202133850	0	0	250.0	5.1	600.0	11.0	999.9	20.6	1179.9	41.6	822.9	69.3	424.6	34.6
20201202133854	0	0	250.0	4.9	600.0	11.0	999.8	20.6	1179.9	41.5	822.9	69.1	424.6	34.6
20201202133859	0	0	250.0	4.8	600.0	10.9	999.8	20.8	1179.9	41.5	822.9	69.1	424.6	34.5
20201202133902	0	0	250.0	5.1	600.0	11.0	999.9	20.7	1180.0	41.6	822.9	69.2	424.6	34.6
20201202133905	0	0	250.0	4.7	600.0	11.0	999.9	20.6	1180.0	41.6	823.0	69.2	424.6	34.7
20201202133908	0	0	250.0	4.2	600.0	11.0	999.9	20.7	1180.0	41.6	822.9	69.2	424.6	34.8
20201202133911	0	0	250.0	5.8	600.0	11.0	999.9	20.8	1180.0	41.6	822.9	69.3	424.6	35.0
20201202133915	0	0	250.0	4.1	600.0	11.0	999.9	20.7	1180.0	41.6	822.9	69.3	424.6	34.6
20201202133918	0	0	249.9	5.8	600.0	11.0	999.9	21.0	1180.0	41.6	822.9	69.4	424.6	34.5
20201202133921	0	0	250.0	5.0	600.0	11.0	999.9	20.7	1180.0	41.6	823.0	69.2	424.6	34.5
20201202133924	0	0	250.0	4.2	600.0	11.0	999.9	20.6	1180.0	41.6	823.0	69.3	424.6	34.5
20201202133928	0	0	250.0	5.7	600.0	10.9	1000.1	20.7	1180.0	41.6	823.0	69.3	424.6	34.5
20201202133931	0	0	250.0	4.3	600.0	11.0	999.9	20.6	1180.0	41.6	823.0	69.4	424.6	35.1
20201202133934	0	0	249.9	5.2	600.0	11.0	999.9	20.7	1180.0	41.6	823.0	69.3	424.6	34.7
20201202133937	0	0	250.1	4.9	600.0	10.9	1000.0	20.2	1180.0	41.6	823.0	69.2	424.6	34.8
20201202133940	0	0	249.9	4.7	600.0	11.0	999.9	20.5	1180.0	41.6	823.0	69.2	424.6	34.6
20201202133944	0	0	250.0	5.7	600.0	11.0	999.9	20.6	1180.0	41.6	823.0	69.2	424.6	34.6
20201202133947	0	0	250.0	4.0	600.0	11.0	999.9	21.1	1180.0	41.6	823.0	69.3	424.6	34.9
20201202133950	0	0	249.9	5.9	600.0	11.0	1000.0	20.5	1180.0	41.6	823.0	69.2	424.6	35.0
20201202133953	0	0	250.0	4.2	600.0	11.0	999.9	20.7	1180.0	41.6	823.0	69.2	424.6	34.6
20201202133956	0	0	250.0	4.7	600.0	11.0	999.9	20.8	1180.0	41.6	823.0	69.3	424.6	34.5
20201202134000	0	0	250.0	4.4	600.0	11.0	1000.1	20.4	1180.0	41.6	823.0	69.3	424.6	34.6
20201202134003	0	0	250.0	5.0	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.3	424.6	35.0
20201202134007	0	0	250.0	5.0	600.0	10.9	999.9	20.8	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134010	0	0	250.0	5.0	600.0	10.9	999.9	20.8	1180.0	41.5	823.0	69.3	424.6	34.7
20201202134015	0	0	250.0	5.2	600.0	10.9	1000.1	20.7	1180.0	41.6	823.0	69.3	424.6	34.8
20201202134018	0	0	250.0	5.0	600.0	11.0	1000.0	20.9	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134021	0	0	250.0	5.5	600.0	11.0	1000.1	20.6	1180.0	41.6	823.0	69.3	424.6	34.8
20201202134025	0	0	250.0	4.9	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.3	424.6	34.6
20201202134028	0	0	250.0	5.2	600.0	11.0	1000.0	20.8	1180.0	41.6	823.0	69.3	424.6	34.4
20201202134032	0	0	250.0	5.2	600.0	11.0	1000.0	20.9	1180.0	41.6	823.0	69.2	424.6	34.4
20201202134036	0	0	250.0	4.9	600.0	11.0	999.9	20.8	1180.0	41.6	823.0	69.3	424.6	34.5
20201202134039	0	0	250.0	5.5	600.0	11.0	1000.1	20.7	1180.0	41.6	823.0	69.3	424.6	34.9
20201202134042	0	0	250.0	4.9	600.0	11.0	999.9	21.0	1180.0	41.6	823.0	69.2	424.6	35.0
20201202134045	0	0	250.0	5.2	600.0	10.9	1000.1	20.8	1180.0	41.6	823.0	69.2	424.6	34.8
20201202134050	0	0	250.0	4.9	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.2	424.6	34.8
20201202134053	0	0	250.0	5.0	600.0	11.0	1000.0	20.6	1180.0	41.6	823.0	69.2	424.6	35.0
20201202134056	0	0	249.9	5.6	600.0	11.0	999.9	20.8	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134100	0	0	250.0	4.9	600.0	11.0	1000.0	21.0	1180.0	41.6	823.0	69.4	424.6	34.9
20201202134103	0	0	250.0	5.2	600.0	11.0	1000.0	20.6	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134107	0	0	250.0	5.0	600.0	11.0	999.9	20.9	1180.0	41.6	823.0	69.2	424.6	34.8
20201202134111	0	0	250.0	4.8	600.0	11.0	1000.0	21.0	1180.0	41.6	823.0	69.3	424.6	34.8
20201202134114	0	0	249.9	5.7	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.3	424.6	34.3
20201202134117	0	0	250.1	4.5	600.0	11.0	1000.0	20.8	1180.0	41.6	823.0	69.3	424.6	35.0
20201202134120	0	0	249.9	5.8	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.3	424.6	34.6
20201202134124	0	0	250.0	4.4	600.0	11.0	1000.0	20.7	1180.0	41.6	823.0	69.2	424.6	34.6
20201202134127	0	0	249.9	5.4	600.0	11.0	1000.0	21.1	1180.0	41.6	823.0	69.2	424.6	34.4
20201202134130	0	0	250.0	5.1	600.0	11.0	999.9	20.9	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134133	0	0	250.0	3.9	600.0	10.9	1000.0	21.1	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134136	0	0	250.0	5.8	600.0	10.9	1000.0	21.0	1180.0	41.6	823.0	69.2	424.6	34.6
20201202134140	0	0	250.1	4.7	600.0	11.0	1000.0	20.8	1180.0	41.6	823.0	69.2	424.6	34.8
20201202134143	0	0	249.9	4.9	600.0	11.0	1000.0	20.9	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134146	0	0	250.0	5.4	600.0	11.0	1000.1	20.7	1180.0	41.6	823.0	69.2	424.6	34.7
20201202134149	0	0	250.0	4.2	600.0	11.0	999.9	20.8	1180.0	41.6	823.0	69.2	424.6	34.4
20201202134153	0	0	249.9	5.8	600.0	11.0	1000.1	20.7	1180.0	41.6	823.0	69.3	424.6	34.7
20201202134156	0	0	250.1	4.5	600.0	11.0	1000.0	20.9	1180.0	41.6	823.0	69.3	424.6	34.8
20201202134159	0	0	250.0	4.8	600.0	11.0	1000.1	20.7	1180.0	41.6	823.0	69.3	424.6	34.6
20201202134202	0	0	250.0	5.8	600.0	11.0	1000.0	20.9	1180.0	41.6	823.0	69.2	424.6	34.6
20201202134205	0	0	250.0	4.3	600.0	11.0	1000.1	20.9	1180.0	41.6	823.0	69.3	424.6	35.1
20201202134209	0	0	250.0	4.7	600.0	11.0	999.9	20.9	1180.0	41.6	823.0	69.2	424.6	34.3
20201202134212	0	0	250.0	4.9	600.0	11.0	1000.1	20.4	1180.0	41.6	823.0	69.3	424.6	35.0
20201202134216	0	0	250.0	5.5	600.0	10.9	1000.0	20.9	1180.0	41.6	823.0	69.4	424.6	35.0
20201202134219	0	0	250.0	5.1	600.0	10.9	1000.0	21.0	1180.0	41.6	823.0	69.3	424.6	34.6
20201202134222	0	0	250.0	5.0	600.0	11.0	999.9	20.9	1180.0	41.6	823.0	69.3	424.6	34.5
20201202134226	0	0	250.0	5.2	600.0	11.0	1000.1	20.6	1180.0	41.6	823.0	69.3	424.6	34.7
