dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
   10.0000     0.0050    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.0195     0.0016     0.0015     0.2790     0.0610     0.0540     1.9000     4.7000     4.6000    50.9100     0.6600     0.6700     0.0000     0.0000     0.0000   271.8900     0.3200     0.3300     5.1810     0.0480     0.0480   -90.0000     0.0000     0.0000   266.3900     0.3200     0.3200     5.1810     0.0480     0.0480   180.0000     0.0000     0.0000     0.9173     0.0016     0.0016     5.4200     0.0470     0.0480    90.0000     0.0000     0.0000     0.9415     0.0017     0.0017     5.0700     0.0470     0.0470  3630.2000  3648.0000     0.9951  2701.0000     0.0088     0.0016     0.2115     0.0416     0.0076
    9.9990     0.0040    49.0000     9.9429    16.4945    -0.0100    -0.0100   -10.0000     0.0142     0.0019     0.0017     0.1350     0.0830     0.0680    -0.4000     5.6000     5.6000    51.2700     0.5900     0.5500     0.0000     0.0000     0.0000   218.5800     0.2900     0.2900     4.0240     0.0430     0.0430   -90.0000     0.0000     0.0000   212.7000     0.2900     0.2900     4.1430     0.0430     0.0430   180.0000     0.0000     0.0000     0.9138     0.0018     0.0018     4.2660     0.0420     0.0420    90.0000     0.0000     0.0000     0.9461     0.0019     0.0019     3.9230     0.0420     0.0420  3554.3999  3648.0000     0.9743  2702.0000     0.0048     0.0019     0.2185     0.0219     0.0087
   10.0000     0.0050    49.0000    12.9395    16.4945    -0.0100    -0.0100   -10.0000     0.0148     0.0019     0.0017     0.1930     0.0880     0.0730    -0.4000     5.8000     5.8000    51.3100     0.6700     0.6600     0.0000     0.0000     0.0000   219.0800     0.2900     0.2900     4.1530     0.0430     0.0430   -90.0000     0.0000     0.0000   213.4700     0.2900     0.2900     4.0520     0.0430     0.0420   180.0000     0.0000     0.0000     0.9166     0.0018     0.0018     4.2270     0.0420     0.0420    90.0000     0.0000     0.0000     0.9462     0.0019     0.0019     3.9940     0.0420     0.0420  3513.1001  3648.0000     0.9630  2703.0000     0.0061     0.0019     0.2237     0.0271     0.0085
   10.0000     0.0050    49.0000    15.9444    16.4945    -0.0100    -0.0100   -10.0000     0.0188     0.0023     0.0021     0.4200     0.1200     0.1000     0.4000     5.9000     5.9000    49.9000     1.1000     1.0000     0.0000     0.0000     0.0000   221.9300     0.2900     0.2900     3.3170     0.0420     0.0420   -90.0000     0.0000     0.0000   216.0400     0.2900     0.2900     3.3660     0.0420     0.0420   180.0000     0.0000     0.0000     0.9168     0.0018     0.0018     3.2780     0.0410     0.0410    90.0000     0.0000     0.0000     0.9506     0.0019     0.0019     3.1160     0.0410     0.0410  3671.0000  3648.0000     1.0063  2704.0000     0.0102     0.0023     0.2260     0.0453     0.0102
    9.9990     0.0040    49.0000    17.9424    16.4945    -0.0100    -0.0100   -10.0000     0.0189     0.0026     0.0024     0.5200     0.1500     0.1300    -3.1000     6.7000     6.8000    52.0000     1.5000     1.3000     0.0000     0.0000     0.0000   218.9800     0.2900     0.2900     4.0700     0.0430     0.0430   -90.0000     0.0000     0.0000   213.4800     0.2900     0.2900     4.0600     0.0430     0.0430   180.0000     0.0000     0.0000     0.9126     0.0018     0.0018     4.2920     0.0420     0.0420    90.0000     0.0000     0.0000     0.9531     0.0019     0.0019     3.8950     0.0420     0.0420  3688.7000  3648.0000     1.0112  2705.0000     0.0104     0.0026     0.2268     0.0457     0.0115
    9.9990     0.0050    49.0000    19.9402    16.4945    -0.0090    -0.0100   -10.0000     0.0150     0.0020     0.0018     0.3770     0.1120     0.0940    11.0000     7.8000     7.8000    50.5000     1.4000     1.3000     0.0000     0.0000     0.0000   217.6700     0.2900     0.2900     4.0340     0.0430     0.0430   -90.0000     0.0000     0.0000   211.9100     0.2900     0.2900     3.9890     0.0430     0.0420   180.0000     0.0000     0.0000     0.9136     0.0018     0.0018     4.0710     0.0420     0.0420    90.0000     0.0000     0.0000     0.9518     0.0019     0.0019     3.9240     0.0420     0.0420  3687.6001  3648.0000     1.0109  2706.0000     0.0065     0.0020     0.2273     0.0285     0.0088
   10.0000     0.0040    49.0000     6.0197    13.4973    -0.0090    -0.0080   -10.0000     0.0221     0.0020     0.0019     0.3850     0.0750     0.0690    -2.3000     5.6000     5.8000    53.7000     1.1000     1.0000     0.0000     0.0000     0.0000   213.0000     0.2900     0.2900     3.7880     0.0420     0.0420   -90.0000     0.0000     0.0000   215.0800     0.2900     0.2900     3.8840     0.0430     0.0430   180.0000     0.0000     0.0000     0.9672     0.0019     0.0019     4.0050     0.0420     0.0420    90.0000     0.0000     0.0000     0.9270     0.0018     0.0018     3.6140     0.0410     0.0410  3835.7000  3648.0000     1.0515  2707.0000     0.0098     0.0020     0.1870     0.0525     0.0107
    9.9990     0.0050    49.0000     5.0205    13.4973    -0.0090    -0.0080   -10.0000     0.0217     0.0017     0.0017     0.2430     0.0520     0.0470     1.1000     4.9000     4.9000    51.5600     0.6900     0.7000     0.0000     0.0000     0.0000   197.0800     0.2800     0.2800     3.4700     0.0410     0.0410   -90.0000     0.0000     0.0000   200.5100     0.2800     0.2800     3.5890     0.0410     0.0410   180.0000     0.0000     0.0000     0.9671     0.0020     0.0020     3.8420     0.0410     0.0410    90.0000     0.0000     0.0000     0.9201     0.0019     0.0019     3.4490     0.0400     0.0400  3673.1001  3648.0000     1.0069  2708.0000     0.0077     0.0017     0.1802     0.0427     0.0094
   10.0000     0.0040    49.0000     4.0218    13.4973    -0.0090    -0.0080   -10.0000     0.0235     0.0022     0.0021     0.3610     0.0820     0.0740     8.4000     4.7000     4.7000    49.6400     0.7500     0.7300     0.0000     0.0000     0.0000   193.5400     0.2700     0.2700     3.3090     0.0400     0.0400   -90.0000     0.0000     0.0000   196.6600     0.2800     0.2800     3.4600     0.0400     0.0410   180.0000     0.0000     0.0000     0.9707     0.0020     0.0020     3.7780     0.0410     0.0410    90.0000     0.0000     0.0000     0.9194     0.0019     0.0019     3.3020     0.0390     0.0390  3824.8000  3648.0000     1.0485  2709.0000     0.0060     0.0022     0.1701     0.0353     0.0129
   10.0000     0.0040    49.0000     3.0227    13.4973    -0.0090    -0.0080   -10.0000     0.0291     0.0018     0.0017     0.2580     0.0440     0.0400     6.3000     3.3000     3.3000    50.9800     0.4600     0.4500     0.0000     0.0000     0.0000   211.9100     0.2900     0.2800     3.6400     0.0420     0.0420   -90.0000     0.0000     0.0000   215.9400     0.2900     0.2900     3.9710     0.0430     0.0430   180.0000     0.0000     0.0000     0.9835     0.0019     0.0019     4.1370     0.0430     0.0420    90.0000     0.0000     0.0000     0.9128     0.0018     0.0018     3.7840     0.0410     0.0410  3783.8000  3648.0000     1.0372  2710.0000     0.0046     0.0018     0.1547     0.0296     0.0116
