dataT   dataTErr   dataB   dataE   dataTr   dataRALRAR   dataRATRAB   dataSpinRot   Asy   AsyPosErr   AsyNegErr   Lambda   LambdaPosErr   LambdaNegErr   Ph   PhPosErr   PhNegErr   Field   FieldPosErr   FieldNegErr   RelPh_L   RelPh_LPosErr   RelPh_LNegErr   N0_L   N0_LPosErr   N0_LNegErr   N_bkg_L   N_bkg_LPosErr   N_bkg_LNegErr   RelPh_T   RelPh_TPosErr   RelPh_TNegErr   N0_T   N0_TPosErr   N0_TNegErr   N_bkg_T   N_bkg_TPosErr   N_bkg_TNegErr   RelPh_R   RelPh_RPosErr   RelPh_RNegErr   alpha_LR   alpha_LRPosErr   alpha_LRNegErr   N_bkg_R   N_bkg_RPosErr   N_bkg_RNegErr   RelPh_B   RelPh_BPosErr   RelPh_BNegErr   alpha_TB   alpha_TBPosErr   alpha_TBNegErr   N_bkg_B   N_bkg_BPosErr   N_bkg_BNegErr   maxLH   NDF   maxLHred   RUN   AsymCorrected   eAsymCorrected   AsymAg   DiaFrac   eDiaFrac
  280.0000     0.0100    49.0000     7.9448    16.4945    -0.0100    -0.0090   -10.0000     0.1658     0.0016     0.0016     0.1713     0.0055     0.0055     9.5100     0.5300     0.5300    50.9350     0.0610     0.0610     0.0000     0.0000     0.0000   210.1500     0.2900     0.2900     3.9840     0.0420     0.0420   -90.0000     0.0000     0.0000   211.1600     0.2800     0.2800     4.0320     0.0420     0.0430   180.0000     0.0000     0.0000     0.9980     0.0019     0.0019     4.2730     0.0430     0.0430    90.0000     0.0000     0.0000     0.9672     0.0019     0.0019     3.8090     0.0420     0.0410  3717.1001  3648.0000     1.0189  2674.0000     0.1551     0.0016     0.2115     0.7331     0.0076
  260.0000     0.0100    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1674     0.0017     0.0017     0.2242     0.0065     0.0065    12.3600     0.5600     0.5500    50.6980     0.0710     0.0720     0.0000     0.0000     0.0000   211.1900     0.2900     0.2900     3.7470     0.0420     0.0420   -90.0000     0.0000     0.0000   211.4700     0.2800     0.2800     3.8880     0.0420     0.0420   180.0000     0.0000     0.0000     0.9951     0.0019     0.0019     4.0870     0.0430     0.0420    90.0000     0.0000     0.0000     0.9687     0.0019     0.0019     3.7720     0.0420     0.0420  3632.3999  3648.0000     0.9957  2675.0000     0.1567     0.0017     0.2115     0.7407     0.0080
  240.0000     0.0080    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1637     0.0017     0.0017     0.2227     0.0066     0.0065    11.4400     0.5600     0.5700    50.7100     0.0730     0.0720     0.0000     0.0000     0.0000   211.8700     0.2900     0.2900     3.5790     0.0420     0.0420   -90.0000     0.0000     0.0000   211.5300     0.2800     0.2900     3.8770     0.0430     0.0420   180.0000     0.0000     0.0000     0.9904     0.0019     0.0019     3.9490     0.0420     0.0420    90.0000     0.0000     0.0000     0.9633     0.0019     0.0019     3.6680     0.0420     0.0420  3537.8000  3648.0000     0.9698  2676.0000     0.1530     0.0017     0.2115     0.7232     0.0080
  220.0000     0.0100    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1696     0.0017     0.0017     0.2518     0.0069     0.0069    11.5600     0.5800     0.5700    50.7660     0.0770     0.0780     0.0000     0.0000     0.0000   210.5100     0.2900     0.2900     4.0290     0.0430     0.0420   -90.0000     0.0000     0.0000   211.2200     0.2800     0.2800     4.1530     0.0430     0.0420   180.0000     0.0000     0.0000     0.9931     0.0019     0.0019     4.2210     0.0430     0.0430    90.0000     0.0000     0.0000     0.9628     0.0019     0.0019     3.8700     0.0420     0.0420  3669.7000  3648.0000     1.0059  2677.0000     0.1589     0.0017     0.2115     0.7511     0.0080
  200.0000     0.0100    49.0000     7.9450    16.4945    -0.0100    -0.0100   -10.0000     0.1684     0.0016     0.0016     0.1987     0.0058     0.0058    12.0200     0.5500     0.5400    50.7560     0.0660     0.0670     0.0000     0.0000     0.0000   211.7400     0.2900     0.2800     3.8460     0.0420     0.0430   -90.0000     0.0000     0.0000   211.9100     0.2800     0.2800     4.0010     0.0420     0.0430   180.0000     0.0000     0.0000     0.9947     0.0019     0.0019     4.0610     0.0430     0.0420    90.0000     0.0000     0.0000     0.9663     0.0019     0.0019     3.7790     0.0420     0.0420  3657.3000  3648.0000     1.0026  2678.0000     0.1577     0.0016     0.2115     0.7454     0.0076
  179.9990     0.0090    49.0000     7.9447    16.4945    -0.0100    -0.0100   -10.0000     0.1702     0.0015     0.0016     0.1738     0.0052     0.0053    11.6500     0.5300     0.5200    50.9190     0.0610     0.0620     0.0000     0.0000     0.0000   211.2000     0.2900     0.2800     3.8680     0.0420     0.0420   -90.0000     0.0000     0.0000   211.4900     0.2800     0.2800     3.9450     0.0420     0.0430   180.0000     0.0000     0.0000     0.9873     0.0019     0.0019     4.1310     0.0420     0.0420    90.0000     0.0000     0.0000     0.9628     0.0019     0.0019     3.8200     0.0420     0.0420  3600.8999  3648.0000     0.9871  2679.0000     0.1595     0.0015     0.2115     0.7539     0.0071
  160.0000     0.0100    49.0000     7.9449    16.4945    -0.0100    -0.0100   -10.0000     0.1632     0.0015     0.0015     0.1377     0.0049     0.0049    10.0000     0.5100     0.5200    51.1360     0.0560     0.0560     0.0000     0.0000     0.0000   211.5900     0.2900     0.2800     3.8520     0.0420     0.0420   -90.0000     0.0000     0.0000   211.3300     0.2800     0.2800     4.0250     0.0420     0.0430   180.0000     0.0000     0.0000     0.9869     0.0019     0.0019     4.1940     0.0430     0.0420    90.0000     0.0000     0.0000     0.9633     0.0019     0.0019     3.8280     0.0420     0.0420  3610.3999  3648.0000     0.9897  2680.0000     0.1525     0.0015     0.2115     0.7208     0.0071
  150.0000     0.0100    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1664     0.0015     0.0015     0.1375     0.0048     0.0047    11.6100     0.5100     0.5000    51.1420     0.0550     0.0550     0.0000     0.0000     0.0000   211.5600     0.2900     0.2800     3.8120     0.0420     0.0420   -90.0000     0.0000     0.0000   212.7600     0.2800     0.2800     3.8430     0.0420     0.0420   180.0000     0.0000     0.0000     0.9910     0.0019     0.0019     4.0690     0.0420     0.0420    90.0000     0.0000     0.0000     0.9604     0.0019     0.0019     3.6150     0.0410     0.0420  3781.7000  3648.0000     1.0366  2681.0000     0.1557     0.0015     0.2115     0.7360     0.0071
  140.0000     0.0200    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1660     0.0015     0.0015     0.1366     0.0047     0.0047    10.5900     0.5100     0.5100    51.0620     0.0550     0.0550     0.0000     0.0000     0.0000   213.0300     0.2900     0.2800     3.3860     0.0410     0.0420   -90.0000     0.0000     0.0000   213.8300     0.2800     0.2800     3.5700     0.0410     0.0420   180.0000     0.0000     0.0000     0.9939     0.0019     0.0019     3.6780     0.0420     0.0420    90.0000     0.0000     0.0000     0.9624     0.0018     0.0019     3.3560     0.0410     0.0410  3581.8000  3648.0000     0.9819  2682.0000     0.1553     0.0015     0.2115     0.7341     0.0071
  129.9900     0.0200    49.0000     7.9448    16.4945    -0.0100    -0.0100   -10.0000     0.1624     0.0015     0.0014     0.1268     0.0048     0.0046    11.4100     0.5000     0.5100    51.3230     0.0540     0.0530     0.0000     0.0000     0.0000   213.4200     0.2900     0.2800     3.4030     0.0420     0.0420   -90.0000     0.0000     0.0000   213.3000     0.2800     0.2800     3.6520     0.0420     0.0420   180.0000     0.0000     0.0000     0.9858     0.0019     0.0019     3.8050     0.0420     0.0420    90.0000     0.0000     0.0000     0.9601     0.0018     0.0019     3.5390     0.0410     0.0410  3565.7000  3648.0000     0.9774  2683.0000     0.1517     0.0015     0.2115     0.7171     0.0071
