[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1559942107.309000 6/7/2019, 11:15:07 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, H1257_HipII1-10_43.3mg+b20.7mg
INFO, WEIGHT, 64.000
INFO, AREA, 20.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, Hip II 110
INFO, SEQUENCE FILE: FC_5kOe_300_to_4_sweep.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1559942107.309,,5.000000e+003,3.000184e+002,8.730614e-005,3.212180e-007,0.000000e+000,0.000000e+000,2,9.387726e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.258301e-002,0,,0,
1559942252.820,,5.000000e+003,2.966164e+002,8.697041e-005,2.731153e-007,0.000000e+000,0.000000e+000,2,9.373754e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.858887e+000,0,,0,
1559942317.250,,5.000000e+003,2.928543e+002,8.703141e-005,2.012624e-007,0.000000e+000,0.000000e+000,2,9.377870e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.992706e+000,0,,0,
1559942380.230,,5.000000e+003,2.889568e+002,8.682255e-005,3.333382e-007,0.000000e+000,0.000000e+000,2,9.368321e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.323700e+000,0,,0,
1559942444.400,,5.000000e+003,2.859717e+002,8.708744e-005,4.878863e-007,0.000000e+000,0.000000e+000,2,9.375239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.263580e+000,0,,0,
1559942508.030,,5.000000e+003,2.841158e+002,8.725599e-005,1.786880e-007,0.000000e+000,0.000000e+000,2,9.375294e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.337799e+000,0,,0,
1559942570.130,,5.000000e+003,2.830080e+002,8.719241e-005,2.981583e-007,0.000000e+000,0.000000e+000,2,9.370866e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,9.872131e-001,0,,0,
1559942633.100,,5.000000e+003,2.818669e+002,8.721661e-005,2.903311e-007,0.000000e+000,0.000000e+000,2,9.377823e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.314728e+000,0,,0,
1559942695.200,,5.000000e+003,2.802615e+002,8.713273e-005,2.665619e-007,0.000000e+000,0.000000e+000,2,9.379188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.826691e+000,0,,0,
1559942757.870,,5.000000e+003,2.782639e+002,8.710184e-005,2.919498e-007,0.000000e+000,0.000000e+000,2,9.377620e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.954102e+000,0,,0,
