[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1560334082.880000 6/12/2019, 12:08:02 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, H1258_HipII110_[l]_45.7mg+b13.7mg
INFO, WEIGHT, 59.400
INFO, AREA, 20.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, Hip II 110
INFO, SEQUENCE FILE: FC_5kOe_300_to_4_sweep.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1560334082.880,,5.000000e+003,2.999980e+002,1.110859e-005,3.430638e-007,0.000000e+000,0.000000e+000,2,6.551597e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.249146e-002,0,,0,
1560334255.741,,5.000000e+003,2.962074e+002,1.087071e-005,2.458327e-007,0.000000e+000,0.000000e+000,2,6.509444e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.757599e+000,0,,0,
1560334319.001,,5.000000e+003,2.918695e+002,1.121436e-005,3.045635e-007,0.000000e+000,0.000000e+000,2,6.668232e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,4.178314e+000,0,,0,
1560334382.661,,5.000000e+003,2.879207e+002,1.121537e-005,3.353877e-007,0.000000e+000,0.000000e+000,2,6.541163e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.370819e+000,0,,0,
1560334446.971,,5.000000e+003,2.850359e+002,1.137571e-005,2.232565e-007,0.000000e+000,0.000000e+000,2,6.735490e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.096405e+000,0,,0,
1560334511.221,,5.000000e+003,2.833881e+002,1.148678e-005,4.226590e-007,0.000000e+000,0.000000e+000,2,6.666607e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.090485e+000,0,,0,
1560334573.021,,5.000000e+003,2.825319e+002,1.155577e-005,2.439338e-007,0.000000e+000,0.000000e+000,2,6.759242e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,7.451172e-001,0,,0,
1560334635.621,,5.000000e+003,2.815397e+002,1.152263e-005,3.503170e-007,0.000000e+000,0.000000e+000,2,6.766173e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.291687e+000,0,,0,
1560334698.841,,5.000000e+003,2.798544e+002,1.146163e-005,3.200780e-007,0.000000e+000,0.000000e+000,2,6.595491e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.918610e+000,0,,0,
1560334760.691,,5.000000e+003,2.777591e+002,1.158179e-005,2.650177e-007,0.000000e+000,0.000000e+000,2,6.740347e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.119110e+000,0,,0,
