[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1564164248.149000 7/26/2019, 8:04:08 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, H1270_1-10
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 1
INFO, COMMENT, 
INFO, SEQUENCE FILE: Hysteresis5T_new.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1564164248.149,,5.000000e+004,3.998873e+000,-5.724302e-004,1.151617e-007,0.000000e+000,0.000000e+000,2,9.588249e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,7.127762e-003,0,,0,
1564164405.119,,4.500000e+004,4.008391e+000,-5.132331e-004,1.000630e-007,0.000000e+000,0.000000e+000,2,9.594995e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,9.839058e-003,0,,0,
1564164574.199,,4.000000e+004,4.009000e+000,-4.555617e-004,7.505040e-008,0.000000e+000,0.000000e+000,2,9.598394e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,1.972198e-003,0,,0,
1564164737.339,,3.500000e+004,4.003227e+000,-3.975868e-004,3.057051e-008,0.000000e+000,0.000000e+000,2,9.601418e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,8.314133e-003,0,,0,
1564164905.400,,3.000000e+004,4.003826e+000,-3.394819e-004,8.041848e-008,0.000000e+000,0.000000e+000,2,9.601733e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,8.552074e-003,0,,0,
1564165064.690,,2.500000e+004,4.003050e+000,-2.814120e-004,4.660355e-008,0.000000e+000,0.000000e+000,2,9.600326e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,8.312941e-003,0,,0,
1564165225.990,,2.000000e+004,4.003689e+000,-2.235626e-004,8.012782e-009,0.000000e+000,0.000000e+000,2,9.599476e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,8.630037e-003,0,,0,
1564165405.830,,1.500000e+004,4.005160e+000,-1.661030e-004,2.557260e-008,0.000000e+000,0.000000e+000,2,9.595538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,1.258373e-003,0,,0,
1564165564.351,,1.000000e+004,4.002550e+000,-1.088822e-004,8.524661e-008,0.000000e+000,0.000000e+000,2,9.587967e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,9.879112e-003,0,,0,
1564165722.131,,7.500000e+003,4.004148e+000,-8.082359e-005,2.437953e-008,0.000000e+000,0.000000e+000,2,9.591792e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,4,4,3.927231e-003,0,,0,
