[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1560544929.827000 6/14/2019, 10:42:09 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, Reference_C21_1_1906_HipII110_[L]_50.0mg+b13.7mg
INFO, WEIGHT, 63.700
INFO, AREA, 20.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, Hip II 110
INFO, SEQUENCE FILE: FC_5kOe_300_to_4_sweep.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1560544929.827,,5.000000e+003,3.000163e+002,-2.053516e-006,3.642666e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.258301e-002,0,,0,
1560545076.708,,5.000000e+003,2.966666e+002,-2.297774e-006,1.908337e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.925201e+000,0,,0,
1560545140.038,,5.000000e+003,2.929725e+002,-2.235973e-006,1.565873e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.823395e+000,0,,0,
1560545204.188,,5.000000e+003,2.892092e+002,-2.219063e-006,2.470767e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,3.308899e+000,0,,0,
1560545267.578,,5.000000e+003,2.863618e+002,-2.238687e-006,3.262853e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.146912e+000,0,,0,
1560545332.008,,5.000000e+003,2.846035e+002,-2.262133e-006,3.605680e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.251617e+000,0,,0,
1560545394.698,,5.000000e+003,2.835212e+002,-2.213778e-006,2.422944e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.000793e+000,0,,0,
1560545458.958,,5.000000e+003,2.822663e+002,-2.165237e-006,1.571102e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.477112e+000,0,,0,
1560545522.038,,5.000000e+003,2.805000e+002,-2.291156e-006,3.237684e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.967010e+000,0,,0,
1560545585.828,,5.000000e+003,2.783718e+002,-2.115506e-006,2.071383e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.129517e+000,0,,0,
1560545649.278,,5.000000e+003,2.762050e+002,-1.756368e-006,1.929065e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.009308e+000,0,,0,
1560545714.378,,5.000000e+003,2.740831e+002,-2.143858e-006,2.897256e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.023590e+000,0,,0,
1560545779.068,,5.000000e+003,2.719929e+002,-1.942432e-006,3.696730e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.963684e+000,0,,0,
1560545843.719,,5.000000e+003,2.699199e+002,-2.158193e-006,2.899144e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.978088e+000,0,,0,
1560545908.319,,5.000000e+003,2.679094e+002,-2.133489e-006,2.061622e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.973602e+000,0,,0,
1560545971.719,,5.000000e+003,2.658902e+002,-2.096863e-006,3.474630e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.916321e+000,0,,0,
1560546034.159,,5.000000e+003,2.639282e+002,-1.894853e-006,1.874969e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.869598e+000,0,,0,
1560546097.359,,5.000000e+003,2.619818e+002,-1.857485e-006,2.762121e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.959320e+000,0,,0,
1560546160.819,,5.000000e+003,2.599322e+002,-1.914741e-006,3.856548e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.954987e+000,0,,0,
1560546224.999,,5.000000e+003,2.577985e+002,-1.982104e-006,2.753258e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.031281e+000,0,,0,
1560546288.399,,5.000000e+003,2.556917e+002,-2.029505e-006,2.794894e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.999298e+000,0,,0,
1560546351.899,,5.000000e+003,2.536017e+002,-2.046366e-006,4.506981e-007,0.000000e+000,0.000000e+000,2,1.189347e-002,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,2.000198e+000,0,,0,
1560546415.469,,5.000000e+003,2.515257e+002,-2.018266e-006,2.219778e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.999710e+000,0,,0,
1560546478.549,,5.000000e+003,2.494590e+002,-1.948886e-006,1.805986e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.937302e+000,0,,0,
1560546541.760,,5.000000e+003,2.474099e+002,-1.938837e-006,1.556679e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.967712e+000,0,,0,
1560546605.710,,5.000000e+003,2.453552e+002,-1.990546e-006,2.212312e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.974213e+000,0,,0,
1560546669.610,,5.000000e+003,2.433105e+002,-1.963316e-006,3.048006e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.949799e+000,0,,0,
1560546733.240,,5.000000e+003,2.412455e+002,-2.029369e-006,2.309843e-007,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,3,8,1.997910e+000,0,,0,
