Name: Sanjib
Sample: H1242
Measuring Station: Gilgamesh
Start Date/Time: 6/24/2019 / 8:15:31 PM
Actual time: 6/24/2019 / 8:15:33 PM

Comment:
H1242 [ZnTe\CuMnSb\Ru]

Ref resistor= 47 ohm

B= 7 T to 0 T at Temp = 4.2 K  Time constant= 300 ms
measurement delay = 500 ms

I(1-10)
Vexc=0.9 V; Voltage Divider=30:1

Vref-Ag1-Ch1 (sen20mv)
V(11-12)-Ag1-Ch2 (sen20mv)
V(1-12)-Ag2-Ch1 (sen20mv)
V(11-10)-Ag2-Ch2 (sen20mv)



Swept Device: B-Field set (Mercury iPS) [T]
Beginvalue: 7.000000E+0; Endvalue: -5.000000E-1
Measurement type: Unidirectional
Step Device: None (value in data file set to '0')
DCV (Agilent1 34420a Ch1) [V] DCV (Agilent1 34420a Ch2) [V] DCV (Agilent2 34420a Ch1) [V] DCV (Agilent2 34420a Ch2) [V] Temperature (LS332) [K] Temperature (LS332) [Ohm]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
3.767828E+0 1.586719E+0 3.639967E+0 5.294393E-1 4.203000E+0 1.015600E+3
---------											
B-Field set (Mercury iPS) [T]	None () []	DCV (Agilent1 34420a Ch1) [V]	DCV (Agilent1 34420a Ch2) [V]	DCV (Agilent2 34420a Ch1) [V]	DCV (Agilent2 34420a Ch2) [V]	Temperature (LS332) [K]	Temperature (LS332) [Ohm]	Rxx (Ohm)	G1 (e2/h)	Rxy (Ohm)	R2 (Ohm)
											
7.00000E+0	0.00000E+0	3.76783E+0	1.58675E+0	3.63998E+0	5.29520E-1	4.20200E+0	1.01560E+3	1.97932E+1	1.30414E+3	4.54053E+1	5.68502E+2
6.98000E+0	0.00000E+0	3.76827E+0	1.58673E+0	3.64006E+0	5.29488E-1	4.20300E+0	1.01560E+3	1.97906E+1	1.30431E+3	4.54008E+1	5.68558E+2
6.96000E+0	0.00000E+0	3.76698E+0	1.58642E+0	3.63994E+0	5.29407E-1	4.20300E+0	1.01560E+3	1.97935E+1	1.30411E+3	4.54150E+1	5.68381E+2
6.94000E+0	0.00000E+0	3.76778E+0	1.58648E+0	3.64010E+0	5.29366E-1	4.20300E+0	1.01560E+3	1.97901E+1	1.30434E+3	4.54073E+1	5.68476E+2
6.92000E+0	0.00000E+0	3.76865E+0	1.58657E+0	3.64021E+0	5.29340E-1	4.20300E+0	1.01560E+3	1.97866E+1	1.30457E+3	4.53982E+1	5.68591E+2
6.90000E+0	0.00000E+0	3.76880E+0	1.58652E+0	3.64029E+0	5.29242E-1	4.20300E+0	1.01550E+3	1.97852E+1	1.30466E+3	4.53974E+1	5.68601E+2
6.88000E+0	0.00000E+0	3.76737E+0	1.58609E+0	3.63992E+0	5.29324E-1	4.20300E+0	1.01550E+3	1.97873E+1	1.30452E+3	4.54100E+1	5.68443E+2
6.86000E+0	0.00000E+0	3.76754E+0	1.58611E+0	3.64002E+0	5.29059E-1	4.20300E+0	1.01550E+3	1.97867E+1	1.30456E+3	4.54093E+1	5.68452E+2
6.84000E+0	0.00000E+0	3.76799E+0	1.58614E+0	3.64015E+0	5.29219E-1	4.20300E+0	1.01550E+3	1.97847E+1	1.30469E+3	4.54055E+1	5.68500E+2
6.82000E+0	0.00000E+0	3.76833E+0	1.58605E+0	3.64000E+0	5.29144E-1	4.20300E+0	1.01550E+3	1.97819E+1	1.30488E+3	4.53994E+1	5.68576E+2
6.80000E+0	0.00000E+0	3.76800E+0	1.58596E+0	3.64017E+0	5.29194E-1	4.20300E+0	1.01550E+3	1.97824E+1	1.30485E+3	4.54055E+1	5.68499E+2
6.78000E+0	0.00000E+0	3.76707E+0	1.58573E+0	3.64000E+0	5.29109E-1	4.20300E+0	1.01540E+3	1.97845E+1	1.30471E+3	4.54146E+1	5.68386E+2
6.76000E+0	0.00000E+0	3.76906E+0	1.58596E+0	3.64007E+0	5.29063E-1	4.20300E+0	1.01540E+3	1.97768E+1	1.30521E+3	4.53914E+1	5.68676E+2
6.74000E+0	0.00000E+0	3.76845E+0	1.58584E+0	3.64012E+0	5.29101E-1	4.20300E+0	1.01540E+3	1.97785E+1	1.30510E+3	4.53995E+1	5.68574E+2
6.72000E+0	0.00000E+0	3.76900E+0	1.58576E+0	3.64007E+0	5.29021E-1	4.20400E+0	1.01540E+3	1.97747E+1	1.30536E+3	4.53922E+1	5.68666E+2
