Name: Sanjib
Sample: H1242
Measuring Station: Gilgamesh
Start Date/Time: 6/24/2019 / 4:58:24 PM
Actual time: 6/24/2019 / 4:58:26 PM

Comment:
H1242 [ZnTe\CuMnSb\Ru]

Ref resistor= 47 ohm

B= 7 T  Time constant= 300 ms
measurement delay = 500 ms

I(1-10)
Vexc=0.9 V; Voltage Divider=30:1

Vref-Ag1-Ch1 (sen20mv)
V(11-12)-Ag1-Ch2 (sen20mv)
V(1-12)-Ag2-Ch1 (sen20mv)
V(11-10)-Ag2-Ch2 (sen20mv)



Swept Device: Time (Computer) [arb. units]
Beginvalue: 0.000000E+0; Endvalue: 3.000000E+1
Measurement type: Unidirectional
Step Device: Heater (Lakeshore 332) [% power]
Beginvalue: 2.000000E+0; Endvalue: 9.100000E+1
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
4.60000E+1##1.00000E+0##5.00000E-1

DCV (Agilent1 34420a Ch1) [V] DCV (Agilent1 34420a Ch2) [V] DCV (Agilent2 34420a Ch1) [V] DCV (Agilent2 34420a Ch2) [V] Temperature (LS332) [K] Temperature (LS332) [Ohm]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
3.700698E+0 1.555803E+0 3.813511E+0 5.142631E-1 1.569000E+0 3.199900E+3
---------											
Time (Computer) [arb. units]	Heater (Lakeshore 332) [% power]	DCV (Agilent1 34420a Ch1) [V]	DCV (Agilent1 34420a Ch2) [V]	DCV (Agilent2 34420a Ch1) [V]	DCV (Agilent2 34420a Ch2) [V]	Temperature (LS332) [K]	Temperature (LS332) [Ohm]	Rxx (Ohm)	G1 (e2/h)	Rxy (Ohm)	R2 (Ohm)
											
0.00000E+0	2.00000E+0	3.69966E+0	1.55545E+0	3.81324E+0	5.14248E-1	1.57700E+0	3.17290E+3	1.97603E+1	1.30631E+3	4.84429E+1	5.32854E+2
1.00000E+0	2.00000E+0	3.69996E+0	1.55547E+0	3.81327E+0	5.14295E-1	1.58300E+0	3.15440E+3	1.97589E+1	1.30640E+3	4.84394E+1	5.32893E+2
2.00000E+0	2.00000E+0	3.69996E+0	1.55546E+0	3.81311E+0	5.14188E-1	1.58800E+0	3.14010E+3	1.97588E+1	1.30641E+3	4.84373E+1	5.32916E+2
3.00000E+0	2.00000E+0	3.70050E+0	1.55560E+0	3.81327E+0	5.14250E-1	1.59200E+0	3.12650E+3	1.97577E+1	1.30648E+3	4.84323E+1	5.32971E+2
4.00000E+0	2.00000E+0	3.70073E+0	1.55569E+0	3.81353E+0	5.14295E-1	1.59600E+0	3.11190E+3	1.97576E+1	1.30648E+3	4.84327E+1	5.32966E+2
5.00000E+0	2.00000E+0	3.70039E+0	1.55564E+0	3.81337E+0	5.14314E-1	1.60700E+0	3.08490E+3	1.97588E+1	1.30641E+3	4.84350E+1	5.32941E+2
6.00000E+0	2.00000E+0	3.69999E+0	1.55551E+0	3.81324E+0	5.14312E-1	1.63500E+0	3.02010E+3	1.97593E+1	1.30637E+3	4.84385E+1	5.32903E+2
7.00000E+0	2.00000E+0	3.70061E+0	1.55568E+0	3.81326E+0	5.14153E-1	1.67200E+0	2.93920E+3	1.97581E+1	1.30645E+3	4.84306E+1	5.32989E+2
8.00000E+0	2.00000E+0	3.70082E+0	1.55571E+0	3.81338E+0	5.14317E-1	1.71000E+0	2.85690E+3	1.97574E+1	1.30650E+3	4.84295E+1	5.33002E+2
