Name: Sanjib
Sample: H1242
Measuring Station: Gilgamesh
Start Date/Time: 6/21/2019 / 7:18:32 PM
Actual time: 6/21/2019 / 7:18:34 PM

Comment:
H1242 [ZnTe\CuMnSb\Ru]

Ref resistor=47 ohm

B= 0T  Time constant=1s

I(1-10)
Vexc=0.9 V; Voltage Divider=30:1

Vref-Ag1-Ch1 (sen20mv)
V(11-12)-Ag1-Ch2 (sen50mv)
V(1-12)-Ag2-Ch1 (sen20mv)
V(11-10)-Ag2-Ch2 (sen20mv)



Swept Device: Time (Computer) [arb. units]
Beginvalue: 0.000000E+0; Endvalue: 1.200000E+2
Measurement type: Unidirectional
Step Device: Heater (Lakeshore 332) [% power]
Beginvalue: 0.000000E+0; Endvalue: 9.000000E+1
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
1.00000E+0##5.00000E-1##1.00000E+0

DCV (Agilent1 34420a Ch1) [V] DCV (Agilent1 34420a Ch2) [V] DCV (Agilent2 34420a Ch1) [V] DCV (Agilent2 34420a Ch2) [V] Temperature (LS332) [K] Temperature (LS332) [Ohm]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
4.173951E+0 6.948836E-1 2.673046E+0 5.673628E-1 1.422000E+0 3.726800E+3
---------											
Time (Computer) [arb. units]	Heater (Lakeshore 332) [% power]	DCV (Agilent1 34420a Ch1) [V]	DCV (Agilent1 34420a Ch2) [V]	DCV (Agilent2 34420a Ch1) [V]	DCV (Agilent2 34420a Ch2) [V]	Temperature (LS332) [K]	Temperature (LS332) [Ohm]	Rxx (Ohm)	G1 (e2/h)	Rxy (Ohm)	R2 (Ohm)
0.00000E+0	0.00000E+0	4.17380E+0	6.94833E-1	2.67284E+0	5.67302E-1	1.42100E+0	3.72830E+3	1.95608E+1	1.31963E+3	3.00981E+1	8.57629E+2
1.00000E+0	0.00000E+0	4.17382E+0	6.94873E-1	2.67293E+0	5.67330E-1	1.42100E+0	3.72910E+3	1.95618E+1	1.31956E+3	3.00989E+1	8.57605E+2
2.00000E+0	0.00000E+0	4.17368E+0	6.94876E-1	2.67293E+0	5.67377E-1	1.42100E+0	3.73070E+3	1.95626E+1	1.31951E+3	3.01000E+1	8.57575E+2
3.00000E+0	0.00000E+0	4.17389E+0	6.94880E-1	2.67285E+0	5.67308E-1	1.42100E+0	3.73080E+3	1.95617E+1	1.31957E+3	3.00977E+1	8.57642E+2
4.00000E+0	0.00000E+0	4.17376E+0	6.94888E-1	2.67289E+0	5.67301E-1	1.42000E+0	3.73170E+3	1.95625E+1	1.31951E+3	3.00989E+1	8.57606E+2
5.00000E+0	0.00000E+0	4.17388E+0	6.94913E-1	2.67301E+0	5.67312E-1	1.42000E+0	3.73220E+3	1.95627E+1	1.31950E+3	3.00994E+1	8.57591E+2
6.00000E+0	0.00000E+0	4.17378E+0	6.94899E-1	2.67296E+0	5.67357E-1	1.42000E+0	3.73290E+3	1.95627E+1	1.31950E+3	3.00995E+1	8.57588E+2
7.00000E+0	0.00000E+0	4.17383E+0	6.94889E-1	2.67289E+0	5.67352E-1	1.42000E+0	3.73330E+3	1.95622E+1	1.31953E+3	3.00985E+1	8.57618E+2
8.00000E+0	0.00000E+0	4.17372E+0	6.94867E-1	2.67289E+0	5.67332E-1	1.42000E+0	3.73350E+3	1.95621E+1	1.31954E+3	3.00993E+1	8.57596E+2
9.00000E+0	0.00000E+0	4.17375E+0	6.94911E-1	2.67294E+0	5.67372E-1	1.42000E+0	3.73330E+3	1.95632E+1	1.31947E+3	3.00995E+1	8.57588E+2
