Name: Sanjib
Sample: H1242
Measuring Station: Gilgamesh
Start Date/Time: 6/23/2019 / 12:34:08 PM
Actual time: 6/23/2019 / 12:34:10 PM

Comment:
H1242 [ZnTe\CuMnSb\Ru]

Ref resistor=47 ohm

B= 0T  Time constant=1s

I(1-10)
Vexc=0.9 V; Voltage Divider=30:1

Vref-Ag1-Ch1 (sen20mv)
V(11-12)-Ag1-Ch2 (sen50mv)
V(1-12)-Ag2-Ch1 (sen20mv)
V(11-10)-Ag2-Ch2 (sen20mv)



Swept Device: Time (Computer) [arb. units]
Beginvalue: 0.000000E+0; Endvalue: 3.600000E+3
Measurement type: Unidirectional
Step Device: Heater (Lakeshore 332) [% power]
Beginvalue: 9.000000E+1; Endvalue: 9.000000E+1
While measuring, the Stepsize or the Delaytime have been changed:
Stepvalue##Stepsize##Delaytime (step)
0.00000E+0##2.50000E-1##0.00000E+0
9.00000E+1##1.00000E+0##1.00000E+0

DCV (Agilent1 34420a Ch1) [V] DCV (Agilent1 34420a Ch2) [V] DCV (Agilent2 34420a Ch1) [V] DCV (Agilent2 34420a Ch2) [V] Temperature (LS332) [K] Temperature (LS332) [Ohm]
  Start Value:   Start Value:   Start Value:   Start Value:   Start Value:   Start Value:
3.249332E+0 1.122543E+0 3.176534E+0 8.327532E-1 9.604200E+1 1.089400E+2
---------											
Time (Computer) [arb. units]	Heater (Lakeshore 332) [% power]	DCV (Agilent1 34420a Ch1) [V]	DCV (Agilent1 34420a Ch2) [V]	DCV (Agilent2 34420a Ch1) [V]	DCV (Agilent2 34420a Ch2) [V]	Temperature (LS332) [K]	Temperature (LS332) [Ohm]	Rxx (Ohm)	G1 (e2/h)	Rxy (Ohm)	R2 (Ohm)
											
0.00000E+0	9.00000E+1	3.24958E+0	1.12258E+0	3.17675E+0	8.32742E-1	9.60440E+1	1.08940E+2	4.05906E+1	6.35935E+2	4.59467E+1	5.61803E+2
5.00000E+0	9.00000E+1	3.24929E+0	1.12256E+0	3.17674E+0	8.32815E-1	9.60410E+1	1.08940E+2	4.05937E+1	6.35887E+2	4.59506E+1	5.61756E+2
1.00000E+1	9.00000E+1	3.24937E+0	1.12259E+0	3.17661E+0	8.32787E-1	9.60410E+1	1.08940E+2	4.05938E+1	6.35886E+2	4.59476E+1	5.61792E+2
1.50000E+1	9.00000E+1	3.24937E+0	1.12253E+0	3.17658E+0	8.32774E-1	9.60410E+1	1.08940E+2	4.05918E+1	6.35917E+2	4.59472E+1	5.61797E+2
2.00000E+1	9.00000E+1	3.24922E+0	1.12252E+0	3.17671E+0	8.32770E-1	9.60410E+1	1.08940E+2	4.05934E+1	6.35892E+2	4.59511E+1	5.61749E+2
2.50000E+1	9.00000E+1	3.24932E+0	1.12260E+0	3.17678E+0	8.32819E-1	9.60410E+1	1.08940E+2	4.05946E+1	6.35872E+2	4.59507E+1	5.61754E+2
3.00000E+1	9.00000E+1	3.24943E+0	1.12259E+0	3.17681E+0	8.32802E-1	9.60410E+1	1.08940E+2	4.05929E+1	6.35899E+2	4.59496E+1	5.61768E+2
3.50000E+1	9.00000E+1	3.24928E+0	1.12251E+0	3.17670E+0	8.32755E-1	9.60390E+1	1.08940E+2	4.05919E+1	6.35914E+2	4.59502E+1	5.61761E+2
4.00000E+1	9.00000E+1	3.24933E+0	1.12259E+0	3.17680E+0	8.32777E-1	9.60390E+1	1.08940E+2	4.05943E+1	6.35877E+2	4.59509E+1	5.61751E+2
4.50000E+1	9.00000E+1	3.24925E+0	1.12256E+0	3.17691E+0	8.32805E-1	9.60380E+1	1.08940E+2	4.05940E+1	6.35881E+2	4.59535E+1	5.61720E+2
5.00000E+1	9.00000E+1	3.24929E+0	1.12260E+0	3.17672E+0	8.32796E-1	9.60380E+1	1.08940E+2	4.05953E+1	6.35862E+2	4.59503E+1	5.61759E+2
5.50000E+1	9.00000E+1	3.24931E+0	1.12259E+0	3.17685E+0	8.32788E-1	9.60390E+1	1.08940E+2	4.05947E+1	6.35871E+2	4.59519E+1	5.61739E+2
6.00000E+1	9.00000E+1	3.24924E+0	1.12255E+0	3.17679E+0	8.32782E-1	9.60390E+1	1.08940E+2	4.05940E+1	6.35883E+2	4.59521E+1	5.61738E+2
6.50000E+1	9.00000E+1	3.24926E+0	1.12255E+0	3.17692E+0	8.32771E-1	9.60400E+1	1.08940E+2	4.05937E+1	6.35886E+2	4.59537E+1	5.61718E+2
7.00000E+1	9.00000E+1	3.24931E+0	1.12258E+0	3.17681E+0	8.32790E-1	9.60380E+1	1.08940E+2	4.05941E+1	6.35881E+2	4.59513E+1	5.61746E+2
7.50000E+1	9.00000E+1	3.24930E+0	1.12255E+0	3.17655E+0	8.32752E-1	9.60380E+1	1.08950E+2	4.05933E+1	6.35893E+2	4.59477E+1	5.61790E+2
8.00000E+1	9.00000E+1	3.24941E+0	1.12257E+0	3.17652E+0	8.32783E-1	9.60390E+1	1.08940E+2	4.05924E+1	6.35906E+2	4.59458E+1	5.61815E+2
8.50000E+1	9.00000E+1	3.24932E+0	1.12260E+0	3.17661E+0	8.32772E-1	9.60400E+1	1.08940E+2	4.05949E+1	6.35869E+2	4.59483E+1	5.61783E+2
9.00000E+1	9.00000E+1	3.24944E+0	1.12261E+0	3.17659E+0	8.32824E-1	9.60350E+1	1.08950E+2	4.05939E+1	6.35884E+2	4.59463E+1	5.61807E+2
9.50000E+1	9.00000E+1	3.24938E+0	1.12257E+0	3.17665E+0	8.32795E-1	9.60350E+1	1.08950E+2	4.05930E+1	6.35898E+2	4.59479E+1	5.61788E+2
1.00000E+2	9.00000E+1	3.24937E+0	1.12260E+0	3.17652E+0	8.32799E-1	9.60380E+1	1.08940E+2	4.05940E+1	6.35882E+2	4.59462E+1	5.61809E+2
1.05000E+2	9.00000E+1	3.24935E+0	1.12261E+0	3.17687E+0	8.32767E-1	9.60360E+1	1.08950E+2	4.05950E+1	6.35867E+2	4.59517E+1	5.61742E+2
1.10000E+2	9.00000E+1	3.24925E+0	1.12256E+0	3.17674E+0	8.32765E-1	9.60350E+1	1.08950E+2	4.05944E+1	6.35877E+2	4.59511E+1	5.61749E+2
1.15000E+2	9.00000E+1	3.24923E+0	1.12252E+0	3.17680E+0	8.32747E-1	9.60380E+1	1.08950E+2	4.05929E+1	6.35900E+2	4.59522E+1	5.61736E+2
1.20000E+2	9.00000E+1	3.24928E+0	1.12257E+0	3.17679E+0	8.32793E-1	9.60390E+1	1.08940E+2	4.05942E+1	6.35879E+2	4.59514E+1	5.61746E+2
1.25000E+2	9.00000E+1	3.24930E+0	1.12262E+0	3.17696E+0	8.32861E-1	9.60370E+1	1.08950E+2	4.05959E+1	6.35852E+2	4.59536E+1	5.61719E+2
1.30000E+2	9.00000E+1	3.24921E+0	1.12256E+0	3.17666E+0	8.32828E-1	9.60370E+1	1.08950E+2	4.05946E+1	6.35872E+2	4.59506E+1	5.61755E+2
1.35000E+2	9.00000E+1	3.24932E+0	1.12258E+0	3.17658E+0	8.32834E-1	9.60360E+1	1.08950E+2	4.05940E+1	6.35883E+2	4.59478E+1	5.61790E+2
1.40000E+2	9.00000E+1	3.24927E+0	1.12255E+0	3.17666E+0	8.32827E-1	9.60350E+1	1.08950E+2	4.05937E+1	6.35887E+2	4.59497E+1	5.61767E+2
1.45000E+2	9.00000E+1	3.24938E+0	1.12259E+0	3.17681E+0	8.32748E-1	9.60370E+1	1.08950E+2	4.05937E+1	6.35887E+2	4.59505E+1	5.61757E+2
1.50000E+2	9.00000E+1	3.24935E+0	1.12257E+0	3.17653E+0	8.32760E-1	9.60380E+1	1.08940E+2	4.05934E+1	6.35891E+2	4.59467E+1	5.61803E+2
1.55000E+2	9.00000E+1	3.24932E+0	1.12254E+0	3.17658E+0	8.32747E-1	9.60360E+1	1.08950E+2	4.05928E+1	6.35901E+2	4.59479E+1	5.61789E+2
1.60000E+2	9.00000E+1	3.24937E+0	1.12257E+0	3.17664E+0	8.32686E-1	9.60320E+1	1.08950E+2	4.05931E+1	6.35896E+2	4.59480E+1	5.61787E+2
1.65000E+2	9.00000E+1	3.24944E+0	1.12259E+0	3.17657E+0	8.32832E-1	9.60270E+1	1.08950E+2	4.05929E+1	6.35900E+2	4.59460E+1	5.61812E+2
1.70000E+2	9.00000E+1	3.24942E+0	1.12253E+0	3.17666E+0	8.32739E-1	9.60260E+1	1.08960E+2	4.05910E+1	6.35929E+2	4.59476E+1	5.61792E+2
1.75000E+2	9.00000E+1	3.24945E+0	1.12245E+0	3.17656E+0	8.32723E-1	9.60210E+1	1.08960E+2	4.05878E+1	6.35979E+2	4.59457E+1	5.61815E+2
1.80000E+2	9.00000E+1	3.24948E+0	1.12249E+0	3.17653E+0	8.32764E-1	9.60150E+1	1.08970E+2	4.05888E+1	6.35964E+2	4.59448E+1	5.61826E+2
1.85000E+2	9.00000E+1	3.24945E+0	1.12252E+0	3.17664E+0	8.32742E-1	9.60120E+1	1.08970E+2	4.05902E+1	6.35942E+2	4.59468E+1	5.61802E+2
1.90000E+2	9.00000E+1	3.24947E+0	1.12251E+0	3.17676E+0	8.32734E-1	9.60130E+1	1.08970E+2	4.05896E+1	6.35951E+2	4.59483E+1	5.61783E+2
1.95000E+2	9.00000E+1	3.24950E+0	1.12254E+0	3.17657E+0	8.32781E-1	9.60040E+1	1.08980E+2	4.05904E+1	6.35939E+2	4.59452E+1	5.61822E+2
2.00000E+2	9.00000E+1	3.24939E+0	1.12250E+0	3.17656E+0	8.32805E-1	9.60040E+1	1.08980E+2	4.05902E+1	6.35941E+2	4.59466E+1	5.61804E+2
2.05000E+2	9.00000E+1	3.24945E+0	1.12255E+0	3.17679E+0	8.32870E-1	9.60100E+1	1.08970E+2	4.05916E+1	6.35920E+2	4.59490E+1	5.61775E+2
2.10000E+2	9.00000E+1	3.24938E+0	1.12257E+0	3.17661E+0	8.32839E-1	9.60100E+1	1.08970E+2	4.05928E+1	6.35901E+2	4.59474E+1	5.61794E+2
2.15000E+2	9.00000E+1	3.24939E+0	1.12257E+0	3.17653E+0	8.32855E-1	9.59980E+1	1.08980E+2	4.05929E+1	6.35899E+2	4.59462E+1	5.61810E+2
2.20000E+2	9.00000E+1	3.24936E+0	1.12256E+0	3.17658E+0	8.32921E-1	9.59870E+1	1.08990E+2	4.05928E+1	6.35901E+2	4.59474E+1	5.61795E+2
2.25000E+2	9.00000E+1	3.24929E+0	1.12261E+0	3.17665E+0	8.32894E-1	9.59770E+1	1.09000E+2	4.05955E+1	6.35858E+2	4.59492E+1	5.61773E+2
2.30000E+2	9.00000E+1	3.24931E+0	1.12258E+0	3.17656E+0	8.32920E-1	9.59650E+1	1.09010E+2	4.05943E+1	6.35877E+2	4.59478E+1	5.61790E+2
2.35000E+2	9.00000E+1	3.24929E+0	1.12256E+0	3.17661E+0	8.32942E-1	9.59540E+1	1.09020E+2	4.05937E+1	6.35886E+2	4.59488E+1	5.61778E+2
2.40000E+2	9.00000E+1	3.24932E+0	1.12257E+0	3.17671E+0	8.32944E-1	9.59440E+1	1.09030E+2	4.05939E+1	6.35884E+2	4.59498E+1	5.61765E+2
2.45000E+2	9.00000E+1	3.24922E+0	1.12258E+0	3.17689E+0	8.33003E-1	9.59360E+1	1.09040E+2	4.05953E+1	6.35861E+2	4.59538E+1	5.61717E+2
2.50000E+2	9.00000E+1	3.24921E+0	1.12260E+0	3.17677E+0	8.33027E-1	9.59270E+1	1.09050E+2	4.05960E+1	6.35851E+2	4.59522E+1	5.61736E+2
2.55000E+2	9.00000E+1	3.24921E+0	1.12257E+0	3.17674E+0	8.33038E-1	9.59200E+1	1.09050E+2	4.05949E+1	6.35868E+2	4.59517E+1	5.61742E+2
2.60000E+2	9.00000E+1	3.24921E+0	1.12258E+0	3.17695E+0	8.33071E-1	9.59090E+1	1.09060E+2	4.05956E+1	6.35857E+2	4.59548E+1	5.61705E+2
2.65000E+2	9.00000E+1	3.24929E+0	1.12262E+0	3.17698E+0	8.33059E-1	9.59050E+1	1.09060E+2	4.05959E+1	6.35852E+2	4.59540E+1	5.61714E+2
2.70000E+2	9.00000E+1	3.24913E+0	1.12258E+0	3.17689E+0	8.33160E-1	9.59080E+1	1.09060E+2	4.05965E+1	6.35843E+2	4.59550E+1	5.61701E+2
2.75000E+2	9.00000E+1	3.24921E+0	1.12261E+0	3.17676E+0	8.33120E-1	9.59140E+1	1.09060E+2	4.05965E+1	6.35843E+2	4.59521E+1	5.61738E+2
2.80000E+2	9.00000E+1	3.24878E+0	1.12249E+0	3.17639E+0	8.33078E-1	9.59280E+1	1.09040E+2	4.05975E+1	6.35827E+2	4.59528E+1	5.61729E+2
2.85000E+2	9.00000E+1	3.24901E+0	1.12272E+0	3.17698E+0	8.33216E-1	9.59490E+1	1.09020E+2	4.06031E+1	6.35739E+2	4.59580E+1	5.61665E+2
2.90000E+2	9.00000E+1	3.24940E+0	1.12282E+0	3.17686E+0	8.33201E-1	9.59700E+1	1.09010E+2	4.06017E+1	6.35762E+2	4.59509E+1	5.61752E+2
2.95000E+2	9.00000E+1	3.24887E+0	1.12273E+0	3.17675E+0	8.33113E-1	9.59880E+1	1.08990E+2	4.06052E+1	6.35706E+2	4.59567E+1	5.61681E+2
3.00000E+2	9.00000E+1	3.24879E+0	1.12288E+0	3.17668E+0	8.33175E-1	9.60120E+1	1.08970E+2	4.06114E+1	6.35609E+2	4.59568E+1	5.61680E+2
3.05000E+2	9.00000E+1	3.24868E+0	1.12310E+0	3.17709E+0	8.33376E-1	9.60320E+1	1.08950E+2	4.06209E+1	6.35461E+2	4.59643E+1	5.61588E+2
3.10000E+2	9.00000E+1	3.24865E+0	1.12323E+0	3.17700E+0	8.33333E-1	9.60540E+1	1.08930E+2	4.06261E+1	6.35380E+2	4.59633E+1	5.61600E+2
3.11000E+2	9.00000E+1	3.24823E+0	1.12324E+0	3.17674E+0	8.33423E-1	9.60770E+1	1.08910E+2	4.06316E+1	6.35294E+2	4.59656E+1	5.61572E+2
3.12000E+2	9.00000E+1	3.24804E+0	1.12333E+0	3.17682E+0	8.33506E-1	9.61010E+1	1.08890E+2	4.06373E+1	6.35204E+2	4.59694E+1	5.61525E+2
